"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"ENSG00000152583",954.770931565544,4.36835864527065,0.23712679179598,18.4220374770183,8.74489804169441e-76,1.32441480841462e-71,"SPARCL1"
"ENSG00000179094",743.252688449073,2.86388865850472,0.175569314419002,16.3120114012062,8.10783556347822e-60,6.13965848044388e-56,"PER1"
"ENSG00000116584",2277.91345410747,-1.03470077244439,0.0650984360859685,-15.8944029174214,6.92854592997919e-57,3.4977609369845e-53,"ARHGEF2"
"ENSG00000189221",2383.75370672631,3.34154402446202,0.212405785251678,15.7318880015563,9.14432590203653e-56,3.46227039465858e-52,"MAOA"
"ENSG00000120129",3440.70375496308,2.9652108028191,0.203695128555519,14.5571021940808,5.2642431567748e-48,1.59453925218709e-44,"DUSP1"
"ENSG00000148175",13493.9203682606,1.42716828092124,0.100389041282953,14.2163752405871,7.25127847323089e-46,1.8303435412847e-42,"STOM"
"ENSG00000178695",2685.40973562001,-2.48906893759146,0.178066074434017,-13.9783445302704,2.11347084709458e-44,4.5726451398925e-41,"KCTD12"
"ENSG00000109906",439.54152091542,5.92760001886979,0.428136869478715,13.8451052489057,1.36181139449351e-43,2.57807919620052e-40,"ZBTB16"
"ENSG00000134686",2933.64246142684,1.4394899977336,0.105851508731657,13.599144830168,4.05142856139979e-42,6.81765395137776e-39,"PHC2"
"ENSG00000101347",14134.9917673153,3.85041431110557,0.28487352023342,13.5162239998671,1.25451653364196e-41,1.89996529020074e-38,"SAMHD1"
"ENSG00000096060",2630.23049426017,3.94505193427763,0.29288410601856,13.4696689004613,2.35921552414431e-41,3.2482108284696e-38,"FKBP5"
"ENSG00000166741",7542.25286980185,2.21959060728288,0.166737386682529,13.3118951390849,1.97410002733811e-40,2.49147874283631e-37,"NNMT"
"ENSG00000125148",3695.87946177105,2.1985635708861,0.167008739398102,13.1643624088758,1.40720537782319e-39,1.63939426516401e-36,"MT2A"
"ENSG00000162614",5646.18313812308,1.97114016629128,0.150213844094547,13.1222270368809,2.45609603306541e-39,2.65696960148397e-36,"NEXN"
"ENSG00000106976",989.046833637733,-1.85017141617635,0.147802596309979,-12.5178546410381,5.96250434819645e-36,6.02014189022902e-33,"DNM1"
"ENSG00000187193",199.07693798836,3.25514248478068,0.260918540790108,12.475704006789,1.01306836976254e-35,9.58932528753351e-33,"MT1X"
"ENSG00000256235",1123.47954131474,1.28011865747292,0.105504614524977,12.1332954320199,7.03598988723641e-34,6.26823922601149e-31,"SMIM3"
